timestamp,camera_id,u_ideal,v_ideal,visible
0.00000000,camera_0,320.00000000,244.90667111,true
0.00000000,camera_1,320.00000000,244.90667111,true
0.00000000,camera_2,320.00000000,244.90667111,true
0.00000000,camera_3,319.99999905,243.80617712,true
0.03333333,camera_0,319.29716594,245.18436739,true
0.03333333,camera_1,319.47085482,245.20437080,true
0.03333333,camera_2,320.52682207,245.18152204,true
0.03333333,camera_3,320.10699472,243.71874139,true
0.06666667,camera_0,318.59668077,245.46065784,true
0.06666667,camera_1,318.93948533,245.50288726,true
0.06666667,camera_2,321.05122335,245.45467571,true
0.06666667,camera_3,320.21456081,243.63052674,true
0.10000000,camera_0,317.89856909,245.73553669,true
0.10000000,camera_1,318.40599145,245.80220994,true
0.10000000,camera_2,321.57310727,245.72612904,true
0.10000000,camera_3,320.32274738,243.54155434,true
0.13333333,camera_0,317.20285439,246.00899865,true
0.13333333,camera_1,317.87047416,246.10232808,true
0.13333333,camera_2,322.09237841,245.99587912,true
0.13333333,camera_3,320.43160487,243.45184564,true
0.16666667,camera_0,316.50955902,246.28103886,true
0.16666667,camera_1,317.33303555,246.40323076,true
0.16666667,camera_2,322.60894248,246.26392328,true
0.16666667,camera_3,320.54118402,243.36142247,true
0.20000000,camera_0,315.81870423,246.55165295,true
0.20000000,camera_1,316.79377878,246.70490684,true
0.20000000,camera_2,323.12270633,246.53025902,true
0.20000000,camera_3,320.65153590,243.27030699,true
0.23333333,camera_0,315.13031018,246.82083695,true
0.23333333,camera_1,316.25280808,247.00734501,true
0.23333333,camera_2,323.63357798,246.79488403,true
0.23333333,camera_3,320.76271189,243.17852169,true
0.26666667,camera_0,314.44439595,247.08858735,true
0.26666667,camera_1,315.71022870,247.31053376,true
0.26666667,camera_2,324.14146662,247.05779619,true
0.26666667,camera_3,320.87476365,243.08608940,true
0.30000000,camera_0,313.76097957,247.35490108,true
0.30000000,camera_1,315.16614697,247.61446136,true
0.30000000,camera_2,324.64628259,247.31899357,true
0.30000000,camera_3,320.98774312,242.99303327,true
0.33333333,camera_0,313.08007803,247.61977545,true
0.33333333,camera_1,314.62067022,247.91911592,true
0.33333333,camera_2,325.14793743,247.57847444,true
0.33333333,camera_3,321.10170250,242.89937683,true
0.36666667,camera_0,312.40170731,247.88320821,true
0.36666667,camera_1,314.07390679,248.22448532,true
0.36666667,camera_2,325.64634386,247.83623721,true
0.36666667,camera_3,321.21669425,242.80514389,true
0.40000000,camera_0,311.72588238,248.14519750,true
0.40000000,camera_1,313.52596604,248.53055725,true
0.40000000,camera_2,326.14141577,248.09228052,true
0.40000000,camera_3,321.33277105,242.71035864,true
0.43333333,camera_0,311.05261724,248.40574186,true
0.43333333,camera_1,312.97695831,248.83731921,true
0.43333333,camera_2,326.63306828,248.34660313,true
0.43333333,camera_3,321.44998582,242.61504557,true
0.46666667,camera_0,310.38192490,248.66484018,true
0.46666667,camera_1,312.42699490,249.14475847,true
0.46666667,camera_2,327.12121769,248.59920400,true
0.46666667,camera_3,321.56839165,242.51922952,true
0.50000000,camera_0,309.71381747,248.92249177,true
0.50000000,camera_1,311.87618809,249.45286212,true
0.50000000,camera_2,327.60578150,248.85008227,true
0.50000000,camera_3,321.68804183,242.42293566,true
0.53333333,camera_0,309.04830608,249.17869628,true
0.53333333,camera_1,311.32465108,249.76161701,true
0.53333333,camera_2,328.08667845,249.09923723,true
0.53333333,camera_3,321.80898984,242.32618947,true
0.56666667,camera_0,308.38540100,249.43345371,true
0.56666667,camera_1,310.77249801,250.07100982,true
0.56666667,camera_2,328.56382847,249.34666832,true
0.56666667,camera_3,321.93128929,242.22901677,true
0.60000000,camera_0,307.72511158,249.68676443,true
0.60000000,camera_1,310.21984393,250.38102698,true
0.60000000,camera_2,329.03715272,249.59237517,true
0.60000000,camera_3,322.05499393,242.13144370,true
0.63333333,camera_0,307.06744633,249.93862914,true
0.63333333,camera_1,309.66680478,250.69165475,true
0.63333333,camera_2,329.50657359,249.83635754,true
0.63333333,camera_3,322.18015762,242.03349671,true
0.66666667,camera_0,306.41241287,250.18904886,true
0.66666667,camera_1,309.11349740,251.00287913,true
0.66666667,camera_2,329.97201469,250.07861536,true
0.66666667,camera_3,322.30683433,241.93520259,true
0.70000000,camera_0,305.76001804,250.43802494,true
0.70000000,camera_1,308.56003946,251.31468593,true
0.70000000,camera_2,330.43340087,250.31914872,true
0.70000000,camera_3,322.43507809,241.83658843,true
0.73333333,camera_0,305.11026782,250.68555906,true
0.73333333,camera_1,308.00654949,251.62706076,true
0.73333333,camera_2,330.89065821,250.55795783,true
0.73333333,camera_3,322.56494301,241.73768162,true
0.76666667,camera_0,304.46316742,250.93165317,true
0.76666667,camera_1,307.45314684,251.93998897,true
0.76666667,camera_2,331.34371402,250.79504308,true
0.76666667,camera_3,322.69648322,241.63850988,true
0.80000000,camera_0,303.81872128,251.17630955,true
0.80000000,camera_1,306.89995168,252.25345573,true
0.80000000,camera_2,331.79249686,251.03040498,true
0.80000000,camera_3,322.82975288,241.53910122,true
0.83333333,camera_0,303.17693309,251.41953075,true
0.83333333,camera_1,306.34708494,252.56744596,true
0.83333333,camera_2,332.23693654,251.26404419,true
0.83333333,camera_3,322.96480613,241.43948396,true
0.86666667,camera_0,302.53780577,251.66131960,true
0.86666667,camera_1,305.79466835,252.88194437,true
0.86666667,camera_2,332.67696408,251.49596152,true
0.86666667,camera_3,323.10169712,241.33968671,true
0.90000000,camera_0,301.90134156,251.90167921,true
0.90000000,camera_1,305.24282436,253.19693545,true
0.90000000,camera_2,333.11251180,251.72615790,true
0.90000000,camera_3,323.24047991,241.23973836,true
0.93333333,camera_0,301.26754200,252.14061295,true
0.93333333,camera_1,304.69167615,253.51240346,true
0.93333333,camera_2,333.54351321,251.95463440,true
0.93333333,camera_3,323.38120851,241.13966811,true
0.96666667,camera_0,300.63640792,252.37812444,true
0.96666667,camera_1,304.14134763,253.82833244,true
0.96666667,camera_2,333.96990312,252.18139222,true
0.96666667,camera_3,323.52393684,241.03950542,true
1.00000000,camera_0,300.00793953,252.61421756,true
1.00000000,camera_1,303.59196336,254.14470620,true
1.00000000,camera_2,334.39161756,252.40643269,true
1.00000000,camera_3,323.66871870,240.93928004,true
1.03333333,camera_0,299.38213637,252.84889641,true
1.03333333,camera_1,303.04364858,254.46150831,true
1.03333333,camera_2,334.80859381,252.62975727,true
1.03333333,camera_3,323.81560776,240.83902199,true
1.06666667,camera_0,298.75899738,253.08216533,true
1.06666667,camera_1,302.49652917,254.77872213,true
1.06666667,camera_2,335.22077043,252.85136753,true
1.06666667,camera_3,323.96465749,240.73876154,true
1.10000000,camera_0,298.13852086,253.31402890,true
1.10000000,camera_1,301.95073161,255.09633078,true
1.10000000,camera_2,335.62808719,253.07126519,true
1.10000000,camera_3,324.11592121,240.63852924,true
1.13333333,camera_0,297.52070457,253.54449188,true
1.13333333,camera_1,301.40638299,255.41431714,true
1.13333333,camera_2,336.03048514,253.28945206,true
1.13333333,camera_3,324.26945201,240.53835587,true
1.16666667,camera_0,296.90554567,253.77355927,true
1.16666667,camera_1,300.86361094,255.73266388,true
1.16666667,camera_2,336.42790659,253.50593008,true
1.16666667,camera_3,324.42530273,240.43827247,true
1.20000000,camera_0,296.29304079,254.00123625,true
1.20000000,camera_1,300.32254367,256.05135342,true
1.20000000,camera_2,336.82029507,253.72070131,true
1.20000000,camera_3,324.58352596,240.33831031,true
1.23333333,camera_0,295.68318601,254.22752820,true
1.23333333,camera_1,299.78330987,256.37036796,true
1.23333333,camera_2,337.20759539,253.93376791,true
1.23333333,camera_3,324.74417399,240.23850091,true
1.26666667,camera_0,295.07597691,254.45244069,true
1.26666667,camera_1,299.24603874,256.68968943,true
1.26666667,camera_2,337.58975360,254.14513216,true
1.26666667,camera_3,324.90729878,240.13887597,true
1.30000000,camera_0,294.47140857,254.67597945,true
1.30000000,camera_1,298.71085995,257.00929958,true
1.30000000,camera_2,337.96671699,254.35479644,true
1.30000000,camera_3,325.07295196,240.03946746,true
1.33333333,camera_0,293.86947560,254.89815040,true
1.33333333,camera_1,298.17790358,257.32917987,true
1.33333333,camera_2,338.33843412,254.56276324,true
1.33333333,camera_3,325.24118476,239.94030752,true
1.36666667,camera_0,293.27017215,255.11895961,true
1.36666667,camera_1,297.64730016,257.64931157,true
1.36666667,camera_2,338.70485479,254.76903516,true
1.36666667,camera_3,325.41204802,239.84142850,true
1.40000000,camera_0,292.67349190,255.33841332,true
1.40000000,camera_1,297.11918055,257.96967568,true
1.40000000,camera_2,339.06593003,254.97361490,true
1.40000000,camera_3,325.58559216,239.74286294,true
1.43333333,camera_0,292.07942815,255.55651790,true
1.43333333,camera_1,296.59367601,258.29025297,true
1.43333333,camera_2,339.42161213,255.17650525,true
1.43333333,camera_3,325.76186711,239.64464356,true
1.46666667,camera_0,291.48797375,255.77327988,true
1.46666667,camera_1,296.07091811,258.61102397,true
1.46666667,camera_2,339.77185463,255.37770910,true
1.46666667,camera_3,325.94092233,239.54680324,true
1.50000000,camera_0,290.89912119,255.98870591,true
1.50000000,camera_1,295.55103869,258.93196900,true
1.50000000,camera_2,340.11661228,255.57722945,true
1.50000000,camera_3,326.12280675,239.44937504,true
1.53333333,camera_0,290.31286255,256.20280278,true
1.53333333,camera_1,295.03416989,259.25306809,true
1.53333333,camera_2,340.45584111,255.77506936,true
1.53333333,camera_3,326.30756876,239.35239217,true
1.56666667,camera_0,289.72918959,256.41557739,true
1.56666667,camera_1,294.52044405,259.57430108,true
1.56666667,camera_2,340.78949835,255.97123203,true
1.56666667,camera_3,326.49525615,239.25588797,true
1.60000000,camera_0,289.14809371,256.62703678,true
1.60000000,camera_1,294.00999374,259.89564754,true
1.60000000,camera_2,341.11754249,256.16572070,true
1.60000000,camera_3,326.68591612,239.15989591,true
1.63333333,camera_0,288.56956598,256.83718806,true
1.63333333,camera_1,293.50295168,260.21708681,true
1.63333333,camera_2,341.43993323,256.35853874,true
1.63333333,camera_3,326.87959521,239.06444959,true
1.66666667,camera_0,287.99359716,257.04603848,true
1.66666667,camera_1,292.99945074,260.53859799,true
1.66666667,camera_2,341.75663152,256.54968957,true
1.66666667,camera_3,327.07633931,238.96958271,true
1.70000000,camera_0,287.42017773,257.25359537,true
1.70000000,camera_1,292.49962389,260.86015995,true
1.70000000,camera_2,342.06759951,256.73917672,true
1.70000000,camera_3,327.27619357,238.87532906,true
1.73333333,camera_0,286.84929788,257.45986615,true
1.73333333,camera_1,292.00360417,261.18175131,true
1.73333333,camera_2,342.37280059,256.92700379,true
1.73333333,camera_3,327.47920244,238.78172255,true
1.76666667,camera_0,286.28094755,257.66485832,true
1.76666667,camera_1,291.51152464,261.50335046,true
1.76666667,camera_2,342.67219937,257.11317446,true
1.76666667,camera_3,327.68540959,238.68879711,true
1.80000000,camera_0,285.71511641,257.86857947,true
1.80000000,camera_1,291.02351841,261.82493553,true
1.80000000,camera_2,342.96576168,257.29769249,true
1.80000000,camera_3,327.89485788,238.59658677,true
1.83333333,camera_0,285.15179391,258.07103726,true
1.83333333,camera_1,290.53971850,262.14648444,true
1.83333333,camera_2,343.25345453,257.48056172,true
1.83333333,camera_3,328.10758935,238.50512560,true
1.86666667,camera_0,284.59096930,258.27223941,true
1.86666667,camera_1,290.06025790,262.46797487,true
1.86666667,camera_2,343.53524618,257.66178605,true
1.86666667,camera_3,328.32364518,238.41444769,true
1.90000000,camera_0,284.03263159,258.47219370,true
1.90000000,camera_1,289.58526948,262.78938423,true
1.90000000,camera_2,343.81110606,257.84136949,true
1.90000000,camera_3,328.54306566,238.32458716,true
1.93333333,camera_0,283.47676965,258.67090797,true
1.93333333,camera_1,289.11488598,263.11068974,true
1.93333333,camera_2,344.08100484,258.01931608,true
1.93333333,camera_3,328.76589013,238.23557815,true
1.96666667,camera_0,282.92337214,258.86839012,true
1.96666667,camera_1,288.64923996,263.43186835,true
1.96666667,camera_2,344.34491435,258.19562994,true
1.96666667,camera_3,328.99215699,238.14745477,true
2.00000000,camera_0,282.37242757,259.06464809,true
2.00000000,camera_1,288.18846374,263.75289680,true
2.00000000,camera_2,344.60280762,258.37031528,true
2.00000000,camera_3,329.22190365,238.06025114,true
2.03333333,camera_0,281.82392430,259.25968984,true
2.03333333,camera_1,287.73268942,264.07375157,true
2.03333333,camera_2,344.85465890,258.54337634,true
2.03333333,camera_3,329.45516648,237.97400131,true
2.06666667,camera_0,281.27785059,259.45352338,true
2.06666667,camera_1,287.28204879,264.39440894,true
2.06666667,camera_2,345.10044357,258.71481747,true
2.06666667,camera_3,329.69198081,237.88873930,true
2.10000000,camera_0,280.73419454,259.64615677,true
2.10000000,camera_1,286.83667331,264.71484492,true
2.10000000,camera_2,345.34013824,258.88464304,true
2.10000000,camera_3,329.93238088,237.80449909,true
2.13333333,camera_0,280.19294418,259.83759805,true
2.13333333,camera_1,286.39669407,265.03503532,true
2.13333333,camera_2,345.57372066,259.05285752,true
2.13333333,camera_3,330.17639980,237.72131453,true
2.16666667,camera_0,279.65408742,260.02785532,true
2.16666667,camera_1,285.96224175,265.35495571,true
2.16666667,camera_2,345.80116978,259.21946540,true
2.16666667,camera_3,330.42406955,237.63921942,true
2.20000000,camera_0,279.11761213,260.21693667,true
2.20000000,camera_1,285.53344657,265.67458143,true
2.20000000,camera_2,346.02246568,259.38447126,true
2.20000000,camera_3,330.67542090,237.55824743,true
2.23333333,camera_0,278.58350608,260.40485021,true
2.23333333,camera_1,285.11043827,265.99388761,true
2.23333333,camera_2,346.23758964,259.54787972,true
2.23333333,camera_3,330.93048344,237.47843212,true
2.26666667,camera_0,278.05175701,260.59160405,true
2.26666667,camera_1,284.69334605,266.31284913,true
2.26666667,camera_2,346.44652405,259.70969548,true
2.26666667,camera_3,331.18928547,237.39980688,true
2.30000000,camera_0,277.52235262,260.77720631,true
2.30000000,camera_1,284.28229853,266.63144068,true
2.30000000,camera_2,346.64925250,259.86992326,true
2.30000000,camera_3,331.45185406,237.32240498,true
2.33333333,camera_0,276.99528057,260.96166510,true
2.33333333,camera_1,283.87742371,266.94963670,true
2.33333333,camera_2,346.84575968,260.02856786,true
2.33333333,camera_3,331.71821494,237.24625949,true
2.36666667,camera_0,276.47052854,261.14498852,true
2.36666667,camera_1,283.47884894,267.26741141,true
2.36666667,camera_2,347.03603146,260.18563411,true
2.36666667,camera_3,331.98839252,237.17140331,true
2.40000000,camera_0,275.94808416,261.32718466,true
2.40000000,camera_1,283.08670085,267.58473886,true
2.40000000,camera_2,347.22005480,260.34112692,true
2.40000000,camera_3,332.26240984,237.09786911,true
2.43333333,camera_0,275.42793512,261.50826160,true
2.43333333,camera_1,282.70110532,267.90159282,true
2.43333333,camera_2,347.39781783,260.49505123,true
2.43333333,camera_3,332.54028853,237.02568936,true
2.46666667,camera_0,274.91006910,261.68822740,true
