timestamp,camera_id,u_ideal,v_ideal,visible
0.00000000,camera_0,320.00000000,240.00000000,true
0.00000000,camera_1,320.00000000,240.00000000,true
0.00000000,camera_2,320.00000000,240.00000000,true
0.00000000,camera_3,319.99999900,240.00000160,true
0.03333333,camera_0,319.33431180,240.00000000,true
0.03333333,camera_1,319.53238074,240.00000000,true
0.03333333,camera_2,320.46567492,240.00000000,true
0.03333333,camera_3,320.12084536,239.70803142,true
0.06666667,camera_0,318.67060508,240.00000000,true
0.06666667,camera_1,319.06293524,240.00000000,true
0.06666667,camera_2,320.92928865,240.00000000,true
0.06666667,camera_3,320.24221079,239.41497441,true
0.10000000,camera_0,318.00891569,240.00000000,true
0.10000000,camera_1,318.59178282,240.00000000,true
0.10000000,camera_2,321.39072561,240.00000000,true
0.10000000,camera_3,320.36414862,239.12087025,true
0.13333333,camera_0,317.34927823,240.00000000,true
0.13333333,camera_1,318.11904401,240.00000000,true
0.13333333,camera_2,321.84987152,240.00000000,true
0.13333333,camera_3,320.48671240,238.82575928,true
0.16666667,camera_0,316.69172601,240.00000000,true
0.16666667,camera_1,317.64484053,240.00000000,true
0.16666667,camera_2,322.30661338,240.00000000,true
0.16666667,camera_3,320.60995589,238.52968247,true
0.20000000,camera_0,316.03629114,240.00000000,true
0.20000000,camera_1,317.16929527,240.00000000,true
0.20000000,camera_2,322.76083955,240.00000000,true
0.20000000,camera_3,320.73393304,238.23268143,true
0.23333333,camera_0,315.38300447,240.00000000,true
0.23333333,camera_1,316.69253223,240.00000000,true
0.23333333,camera_2,323.21243970,240.00000000,true
0.23333333,camera_3,320.85869795,237.93479844,true
0.26666667,camera_0,314.73189568,240.00000000,true
0.26666667,camera_1,316.21467656,240.00000000,true
0.26666667,camera_2,323.66130488,240.00000000,true
0.26666667,camera_3,320.98430487,237.63607639,true
0.30000000,camera_0,314.08299323,240.00000000,true
0.30000000,camera_1,315.73585450,240.00000000,true
0.30000000,camera_2,324.10732750,240.00000000,true
0.30000000,camera_3,321.11080819,237.33655882,true
0.33333333,camera_0,313.43632444,240.00000000,true
0.33333333,camera_1,315.25619332,240.00000000,true
0.33333333,camera_2,324.55040137,240.00000000,true
0.33333333,camera_3,321.23826237,237.03628989,true
0.36666667,camera_0,312.79191545,240.00000000,true
0.36666667,camera_1,314.77582139,240.00000000,true
0.36666667,camera_2,324.99042171,240.00000000,true
0.36666667,camera_3,321.36672198,236.73531441,true
0.40000000,camera_0,312.14979129,240.00000000,true
0.40000000,camera_1,314.29486803,240.00000000,true
