timestamp,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz
0.00000000,0.00000000,0.00000000,1.50000000,0.25000000,0.17500000,0.00000000
0.03333333,0.00833324,0.00583306,1.50000000,0.24999132,0.17497570,0.00000000
0.06666667,0.01666590,0.01166451,1.50000000,0.24996528,0.17490279,0.00000000
0.10000000,0.02499740,0.01749271,1.50000000,0.24992188,0.17478130,0.00000000
0.13333333,0.03332716,0.02331605,1.50000000,0.24986112,0.17461126,0.00000000
0.16666667,0.04165461,0.02913292,1.50000000,0.24978302,0.17439271,0.00000000
0.20000000,0.04997917,0.03494170,1.50000000,0.24968757,0.17412573,0.00000000
0.23333333,0.05830026,0.04074077,1.50000000,0.24957477,0.17381038,0.00000000
0.26666667,0.06661729,0.04652852,1.50000000,0.24944465,0.17344675,0.00000000
0.30000000,0.07492971,0.05230335,1.50000000,0.24929720,0.17303494,0.00000000
0.33333333,0.08323692,0.05806365,1.50000000,0.24913245,0.17257507,0.00000000
0.36666667,0.09153834,0.06380782,1.50000000,0.24895039,0.17206726,0.00000000
0.40000000,0.09983342,0.06953427,1.50000000,0.24875104,0.17151165,0.00000000
0.43333333,0.10812156,0.07524140,1.50000000,0.24853442,0.17090841,0.00000000
0.46666667,0.11640219,0.08092763,1.50000000,0.24830054,0.17025769,0.00000000
0.50000000,0.12467473,0.08659139,1.50000000,0.24804942,0.16955967,0.00000000
0.53333333,0.13293862,0.09223109,1.50000000,0.24778107,0.16881456,0.00000000
0.56666667,0.14119328,0.09784517,1.50000000,0.24749551,0.16802256,0.00000000
0.60000000,0.14943813,0.10343207,1.50000000,0.24719277,0.16718389,0.00000000
0.63333333,0.15767261,0.10899025,1.50000000,0.24687286,0.16629877,0.00000000
0.66666667,0.16589613,0.11451814,1.50000000,0.24653581,0.16536747,0.00000000
0.70000000,0.17410814,0.12001423,1.50000000,0.24618163,0.16439022,0.00000000
0.73333333,0.18230805,0.12547698,1.50000000,0.24581037,0.16336732,0.00000000
0.76666667,0.19049531,0.13090488,1.50000000,0.24542203,0.16229904,0.00000000
0.80000000,0.19866933,0.13629642,1.50000000,0.24501664,0.16118567,0.00000000
0.83333333,0.20682956,0.14165010,1.50000000,0.24459425,0.16002754,0.00000000
0.86666667,0.21497543,0.14696443,1.50000000,0.24415486,0.15882495,0.00000000
0.90000000,0.22310636,0.15223794,1.50000000,0.24369853,0.15757824,0.00000000
0.93333333,0.23122181,0.15746916,1.50000000,0.24322527,0.15628777,0.00000000
0.96666667,0.23932119,0.16265664,1.50000000,0.24273511,0.15495388,0.00000000
1.00000000,0.24740396,0.16779894,1.50000000,0.24222811,0.15357695,0.00000000
1.03333333,0.25546955,0.17289463,1.50000000,0.24170428,0.15215736,0.00000000
1.06666667,0.26351739,0.17794229,1.50000000,0.24116366,0.15069550,0.00000000
1.10000000,0.27154694,0.18294053,1.50000000,0.24060630,0.14919179,0.00000000
1.13333333,0.27955763,0.18788795,1.50000000,0.24003223,0.14764664,0.00000000
1.16666667,0.28754890,0.19278318,1.50000000,0.23944149,0.14606047,0.00000000
1.20000000,0.29552021,0.19762487,1.50000000,0.23883412,0.14443373,0.00000000
1.23333333,0.30347099,0.20241165,1.50000000,0.23821017,0.14276688,0.00000000
1.26666667,0.31140070,0.20714222,1.50000000,0.23756967,0.14106036,0.00000000
1.30000000,0.31930879,0.21181524,1.50000000,0.23691268,0.13931466,0.00000000
1.33333333,0.32719470,0.21642943,1.50000000,0.23623924,0.13753027,0.00000000
1.36666667,0.33505789,0.22098350,1.50000000,0.23554939,0.13570767,0.00000000
1.40000000,0.34289781,0.22547619,1.50000000,0.23484318,0.13384738,0.00000000
1.43333333,0.35071392,0.22990625,1.50000000,0.23412066,0.13194991,0.00000000
1.46666667,0.35850567,0.23427244,1.50000000,0.23338189,0.13001579,0.00000000
1.50000000,0.36627253,0.23857357,1.50000000,0.23262691,0.12804555,0.00000000
1.53333333,0.37401395,0.24280842,1.50000000,0.23185577,0.12603975,0.00000000
1.56666667,0.38172940,0.24697583,1.50000000,0.23106853,0.12399893,0.00000000
1.60000000,0.38941834,0.25107463,1.50000000,0.23026525,0.12192367,0.00000000
1.63333333,0.39708024,0.25510370,1.50000000,0.22944597,0.11981455,0.00000000
1.66666667,0.40471456,0.25906190,1.50000000,0.22861077,0.11767214,0.00000000
1.70000000,0.41232078,0.26294814,1.50000000,0.22775968,0.11549705,0.00000000
1.73333333,0.41989837,0.26676135,1.50000000,0.22689278,0.11328988,0.00000000
1.76666667,0.42744679,0.27050045,1.50000000,0.22601013,0.11105123,0.00000000
1.80000000,0.43496553,0.27416442,1.50000000,0.22511178,0.10878174,0.00000000
1.83333333,0.44245407,0.27775223,1.50000000,0.22419779,0.10648204,0.00000000
1.86666667,0.44991188,0.28126289,1.50000000,0.22326824,0.10415275,0.00000000
1.90000000,0.45733845,0.28469543,1.50000000,0.22232318,0.10179454,0.00000000
1.93333333,0.46473325,0.28804888,1.50000000,0.22136268,0.09940805,0.00000000
1.96666667,0.47209579,0.29132232,1.50000000,0.22038681,0.09699395,0.00000000
2.00000000,0.47942554,0.29451484,1.50000000,0.21939564,0.09455290,0.00000000
2.03333333,0.48672200,0.29762556,1.50000000,0.21838923,0.09208559,0.00000000
2.06666667,0.49398465,0.30065360,1.50000000,0.21736766,0.08959271,0.00000000
2.10000000,0.50121300,0.30359813,1.50000000,0.21633099,0.08707493,0.00000000
2.13333333,0.50840655,0.30645833,1.50000000,0.21527929,0.08453297,0.00000000
2.16666667,0.51556479,0.30923340,1.50000000,0.21421265,0.08196753,0.00000000
2.20000000,0.52268723,0.31192258,1.50000000,0.21313113,0.07937932,0.00000000
2.23333333,0.52977337,0.31452511,1.50000000,0.21203481,0.07676906,0.00000000
2.26666667,0.53682272,0.31704028,1.50000000,0.21092377,0.07413748,0.00000000
2.30000000,0.54383479,0.31946738,1.50000000,0.20979808,0.07148530,0.00000000
2.33333333,0.55080910,0.32180574,1.50000000,0.20865781,0.06881327,0.00000000
2.36666667,0.55774515,0.32405472,1.50000000,0.20750306,0.06612212,0.00000000
2.40000000,0.56464247,0.32621368,1.50000000,0.20633390,0.06341261,0.00000000
2.43333333,0.57150059,0.32828203,1.50000000,0.20515041,0.06068548,0.00000000
2.46666667,0.57831901,0.33025919,1.50000000,0.20395268,0.05794149,0.00000000
2.50000000,0.58509727,0.33214462,1.50000000,0.20274078,0.05518141,0.00000000
2.53333333,0.59183490,0.33393778,1.50000000,0.20151480,0.05240601,0.00000000
2.56666667,0.59853144,0.33563819,1.50000000,0.20027483,0.04961604,0.00000000
2.60000000,0.60518641,0.33724536,1.50000000,0.19902095,0.04681230,0.00000000
2.63333333,0.61179935,0.33875886,1.50000000,0.19775325,0.04399555,0.00000000
2.66666667,0.61836980,0.34017827,1.50000000,0.19647182,0.04116658,0.00000000
2.70000000,0.62489732,0.34150318,1.50000000,0.19517674,0.03832617,0.00000000
2.73333333,0.63138143,0.34273323,1.50000000,0.19386811,0.03547512,0.00000000
2.76666667,0.63782171,0.34386807,1.50000000,0.19254601,0.03261421,0.00000000
2.80000000,0.64421769,0.34490741,1.50000000,0.19121055,0.02974425,0.00000000
2.83333333,0.65056893,0.34585093,1.50000000,0.18986180,0.02686602,0.00000000
2.86666667,0.65687499,0.34669839,1.50000000,0.18849987,0.02398033,0.00000000
2.90000000,0.66313544,0.34744955,1.50000000,0.18712486,0.02108798,0.00000000
2.93333333,0.66934984,0.34810419,1.50000000,0.18573684,0.01818978,0.00000000
2.96666667,0.67551776,0.34866214,1.50000000,0.18433593,0.01528652,0.00000000
3.00000000,0.68163876,0.34912325,1.50000000,0.18292222,0.01237901,0.00000000
3.03333333,0.68771243,0.34948737,1.50000000,0.18149580,0.00946807,0.00000000
3.06666667,0.69373834,0.34975442,1.50000000,0.18005678,0.00655449,0.00000000
3.10000000,0.69971608,0.34992432,1.50000000,0.17860526,0.00363909,0.00000000
3.13333333,0.70564522,0.34999702,1.50000000,0.17714133,0.00072269,0.00000000
3.16666667,0.71152536,0.34997249,1.50000000,0.17566510,-0.00219392,0.00000000
3.20000000,0.71735609,0.34985076,1.50000000,0.17417668,-0.00510992,0.00000000
3.23333333,0.72313700,0.34963185,1.50000000,0.17267616,-0.00802449,0.00000000
3.26666667,0.72886770,0.34931582,1.50000000,0.17116364,-0.01093684,0.00000000
3.30000000,0.73454778,0.34890276,1.50000000,0.16963924,-0.01384616,0.00000000
3.33333333,0.74017685,0.34839279,1.50000000,0.16810306,-0.01675162,0.00000000
3.36666667,0.74575452,0.34778604,1.50000000,0.16655521,-0.01965243,0.00000000
3.40000000,0.75128041,0.34708268,1.50000000,0.16499579,-0.02254779,0.00000000
3.43333333,0.75675412,0.34628292,1.50000000,0.16342491,-0.02543688,0.00000000
3.46666667,0.76217527,0.34538697,1.50000000,0.16184268,-0.02831890,0.00000000
3.50000000,0.76754350,0.34439508,1.50000000,0.16024921,-0.03119306,0.00000000
3.53333333,0.77285843,0.34330753,1.50000000,0.15864462,-0.03405855,0.00000000
3.56666667,0.77811969,0.34212462,1.50000000,0.15702901,-0.03691459,0.00000000
3.60000000,0.78332691,0.34084667,1.50000000,0.15540249,-0.03976037,0.00000000
3.63333333,0.78847973,0.33947405,1.50000000,0.15376518,-0.04259510,0.00000000
3.66666667,0.79357780,0.33800713,1.50000000,0.15211720,-0.04541801,0.00000000
3.70000000,0.79862076,0.33644632,1.50000000,0.15045865,-0.04822829,0.00000000
3.73333333,0.80360826,0.33479206,1.50000000,0.14878965,-0.05102518,0.00000000
3.76666667,0.80853996,0.33304480,1.50000000,0.14711032,-0.05380790,0.00000000
3.80000000,0.81341550,0.33120503,1.50000000,0.14542077,-0.05657567,0.00000000
3.83333333,0.81823456,0.32927326,1.50000000,0.14372113,-0.05932773,0.00000000
3.86666667,0.82299680,0.32725003,1.50000000,0.14201150,-0.06206331,0.00000000
3.90000000,0.82770189,0.32513590,1.50000000,0.14029201,-0.06478165,0.00000000
