timestamp,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz
0.00000000,-1.50000000,-1.00000000,1.20000000,0.15000000,0.10000000,0.03000000
0.03333333,-1.49500000,-0.99666667,1.20100000,0.15000000,0.10000000,0.03000000
0.06666667,-1.49000000,-0.99333333,1.20200000,0.15000000,0.10000000,0.03000000
0.10000000,-1.48500000,-0.99000000,1.20300000,0.15000000,0.10000000,0.03000000
0.13333333,-1.48000000,-0.98666667,1.20400000,0.15000000,0.10000000,0.03000000
0.16666667,-1.47500000,-0.98333333,1.20500000,0.15000000,0.10000000,0.03000000
0.20000000,-1.47000000,-0.98000000,1.20600000,0.15000000,0.10000000,0.03000000
0.23333333,-1.46500000,-0.97666667,1.20700000,0.15000000,0.10000000,0.03000000
0.26666667,-1.46000000,-0.97333333,1.20800000,0.15000000,0.10000000,0.03000000
0.30000000,-1.45500000,-0.97000000,1.20900000,0.15000000,0.10000000,0.03000000
0.33333333,-1.45000000,-0.96666667,1.21000000,0.15000000,0.10000000,0.03000000
0.36666667,-1.44500000,-0.96333333,1.21100000,0.15000000,0.10000000,0.03000000
0.40000000,-1.44000000,-0.96000000,1.21200000,0.15000000,0.10000000,0.03000000
0.43333333,-1.43500000,-0.95666667,1.21300000,0.15000000,0.10000000,0.03000000
0.46666667,-1.43000000,-0.95333333,1.21400000,0.15000000,0.10000000,0.03000000
0.50000000,-1.42500000,-0.95000000,1.21500000,0.15000000,0.10000000,0.03000000
0.53333333,-1.42000000,-0.94666667,1.21600000,0.15000000,0.10000000,0.03000000
0.56666667,-1.41500000,-0.94333333,1.21700000,0.15000000,0.10000000,0.03000000
0.60000000,-1.41000000,-0.94000000,1.21800000,0.15000000,0.10000000,0.03000000
0.63333333,-1.40500000,-0.93666667,1.21900000,0.15000000,0.10000000,0.03000000
0.66666667,-1.40000000,-0.93333333,1.22000000,0.15000000,0.10000000,0.03000000
0.70000000,-1.39500000,-0.93000000,1.22100000,0.15000000,0.10000000,0.03000000
0.73333333,-1.39000000,-0.92666667,1.22200000,0.15000000,0.10000000,0.03000000
0.76666667,-1.38500000,-0.92333333,1.22300000,0.15000000,0.10000000,0.03000000
