timestamp,camera_id,u_ideal,v_ideal,visible
0.00000000,camera_0,240.00000000,240.00000000,true
0.00000000,camera_1,320.00000000,240.00000000,true
0.00000000,camera_2,320.00000000,240.00000000,true
0.00000000,camera_3,375.85894252,216.18166730,true
0.03333333,camera_0,240.20348792,240.00000000,true
0.03333333,camera_1,318.93336889,240.00000000,true
0.03333333,camera_2,320.63999573,240.00000000,true
0.03333333,camera_3,375.38458010,215.90682784,true
0.06666667,camera_0,240.41390342,240.00000000,true
0.06666667,camera_1,317.86695108,240.00000000,true
0.06666667,camera_2,321.27996587,240.00000000,true
0.06666667,camera_3,374.90229712,215.63392496,true
0.10000000,camera_0,240.63117421,240.00000000,true
0.10000000,camera_1,316.80095980,240.00000000,true
0.10000000,camera_2,321.91988479,240.00000000,true
0.10000000,camera_3,374.41212808,215.36300829,true
0.13333333,camera_0,240.85522815,240.00000000,true
0.13333333,camera_1,315.73560804,240.00000000,true
0.13333333,camera_2,322.55972689,240.00000000,true
0.13333333,camera_3,373.91410942,215.09412742,true
0.16666667,camera_0,241.08599329,240.00000000,true
0.16666667,camera_1,314.67110852,240.00000000,true
0.16666667,camera_2,323.19946653,240.00000000,true
0.16666667,camera_3,373.40827951,214.82733197,true
0.20000000,camera_0,241.32339788,240.00000000,true
0.20000000,camera_1,313.60767355,240.00000000,true
0.20000000,camera_2,323.83907807,240.00000000,true
0.20000000,camera_3,372.89467866,214.56267149,true
0.23333333,camera_0,241.56737034,240.00000000,true
0.23333333,camera_1,312.54551496,240.00000000,true
0.23333333,camera_2,324.47853582,240.00000000,true
0.23333333,camera_3,372.37334916,214.30019551,true
0.26666667,camera_0,241.81783936,240.00000000,true
0.26666667,camera_1,311.48484397,240.00000000,true
0.26666667,camera_2,325.11781407,240.00000000,true
0.26666667,camera_3,371.84433524,214.03995347,true
0.30000000,camera_0,242.07473383,240.00000000,true
0.30000000,camera_1,310.42587110,240.00000000,true
0.30000000,camera_2,325.75688708,240.00000000,true
0.30000000,camera_3,371.30768313,213.78199475,true
0.33333333,camera_0,242.33798291,240.00000000,true
0.33333333,camera_1,309.36880612,240.00000000,true
0.33333333,camera_2,326.39572907,240.00000000,true
0.33333333,camera_3,370.76344104,213.52636862,true
0.36666667,camera_0,242.60751601,240.00000000,true
0.36666667,camera_1,308.31385788,240.00000000,true
0.36666667,camera_2,327.03431419,240.00000000,true
0.36666667,camera_3,370.21165916,213.27312424,true
0.40000000,camera_0,242.88326284,240.00000000,true
0.40000000,camera_1,307.26123426,240.00000000,true
0.40000000,camera_2,327.67261658,240.00000000,true
0.40000000,camera_3,369.65238969,213.02231063,true
0.43333333,camera_0,243.16515337,240.00000000,true
0.43333333,camera_1,306.21114207,240.00000000,true
0.43333333,camera_2,328.31061029,240.00000000,true
0.43333333,camera_3,369.08568683,212.77397666,true
0.46666667,camera_0,243.45311789,240.00000000,true
0.46666667,camera_1,305.16378696,240.00000000,true
0.46666667,camera_2,328.94826932,240.00000000,true
0.46666667,camera_3,368.51160680,212.52817103,true
0.50000000,camera_0,243.74708699,240.00000000,true
0.50000000,camera_1,304.11937331,240.00000000,true
0.50000000,camera_2,329.58556760,240.00000000,true
0.50000000,camera_3,367.93020783,212.28494224,true
0.53333333,camera_0,244.04699160,240.00000000,true
0.53333333,camera_1,303.07810415,240.00000000,true
0.53333333,camera_2,330.22247899,240.00000000,true
0.53333333,camera_3,367.34155013,212.04433862,true
0.56666667,camera_0,244.35276296,240.00000000,true
0.56666667,camera_1,302.04018109,240.00000000,true
0.56666667,camera_2,330.85897728,240.00000000,true
0.56666667,camera_3,366.74569599,211.80640822,true
0.60000000,camera_0,244.66433267,240.00000000,true
0.60000000,camera_1,301.00580419,240.00000000,true
0.60000000,camera_2,331.49503617,240.00000000,true
0.60000000,camera_3,366.14270965,211.57119890,true
0.63333333,camera_0,244.98163268,240.00000000,true
0.63333333,camera_1,299.97517190,240.00000000,true
0.63333333,camera_2,332.13062927,240.00000000,true
0.63333333,camera_3,365.53265742,211.33875822,true
0.66666667,camera_0,245.30459529,240.00000000,true
0.66666667,camera_1,298.94848099,240.00000000,true
0.66666667,camera_2,332.76573011,240.00000000,true
0.66666667,camera_3,364.91560760,211.10913348,true
0.70000000,camera_0,245.63315318,240.00000000,true
0.70000000,camera_1,297.92592642,240.00000000,true
0.70000000,camera_2,333.40031211,240.00000000,true
0.70000000,camera_3,364.29163049,210.88237166,true
0.73333333,camera_0,245.96723941,240.00000000,true
0.73333333,camera_1,296.90770130,240.00000000,true
0.73333333,camera_2,334.03434860,240.00000000,true
0.73333333,camera_3,363.66079843,210.65851944,true
0.76666667,camera_0,246.30678743,240.00000000,true
0.76666667,camera_1,295.89399681,240.00000000,true
0.76666667,camera_2,334.66781278,240.00000000,true
0.76666667,camera_3,363.02318574,210.43762315,true
0.80000000,camera_0,246.65173105,240.00000000,true
0.80000000,camera_1,294.88500208,240.00000000,true
0.80000000,camera_2,335.30067777,240.00000000,true
0.80000000,camera_3,362.37886874,210.21972877,true
0.83333333,camera_0,247.00200454,240.00000000,true
0.83333333,camera_1,293.88090416,240.00000000,true
0.83333333,camera_2,335.93291655,240.00000000,true
0.83333333,camera_3,361.72792576,210.00488189,true
0.86666667,camera_0,247.35754251,240.00000000,true
0.86666667,camera_1,292.88188791,240.00000000,true
0.86666667,camera_2,336.56450198,240.00000000,true
0.86666667,camera_3,361.07043708,209.79312772,true
0.90000000,camera_0,247.71828004,240.00000000,true
0.90000000,camera_1,291.88813597,240.00000000,true
0.90000000,camera_2,337.19540678,240.00000000,true
0.90000000,camera_3,360.40648497,209.58451104,true
0.93333333,camera_0,248.08415260,240.00000000,true
0.93333333,camera_1,290.89982863,240.00000000,true
0.93333333,camera_2,337.82560357,240.00000000,true
0.93333333,camera_3,359.73615368,209.37907621,true
0.96666667,camera_0,248.45509608,240.00000000,true
0.96666667,camera_1,289.91714382,240.00000000,true
0.96666667,camera_2,338.45506480,240.00000000,true
0.96666667,camera_3,359.05952939,209.17686711,true
1.00000000,camera_0,248.83104681,240.00000000,true
1.00000000,camera_1,288.94025701,240.00000000,true
1.00000000,camera_2,339.08376280,240.00000000,true
1.00000000,camera_3,358.37670021,208.97792718,true
1.03333333,camera_0,249.21194156,240.00000000,true
1.03333333,camera_1,287.96934117,240.00000000,true
1.03333333,camera_2,339.71166972,240.00000000,true
1.03333333,camera_3,357.68775620,208.78229935,true
1.06666667,camera_0,249.59771752,240.00000000,true
1.06666667,camera_1,287.00456666,240.00000000,true
1.06666667,camera_2,340.33875758,240.00000000,true
1.06666667,camera_3,356.99278932,208.59002603,true
1.10000000,camera_0,249.98831234,240.00000000,true
1.10000000,camera_1,286.04610124,240.00000000,true
1.10000000,camera_2,340.96499825,240.00000000,true
1.10000000,camera_3,356.29189341,208.40114912,true
1.13333333,camera_0,250.38366411,240.00000000,true
1.13333333,camera_1,285.09410996,240.00000000,true
1.13333333,camera_2,341.59036341,240.00000000,true
1.13333333,camera_3,355.58516420,208.21570995,true
1.16666667,camera_0,250.78371137,240.00000000,true
1.16666667,camera_1,284.14875511,240.00000000,true
1.16666667,camera_2,342.21482459,240.00000000,true
1.16666667,camera_3,354.87269927,208.03374928,true
1.20000000,camera_0,251.18839312,240.00000000,true
1.20000000,camera_1,283.21019621,240.00000000,true
1.20000000,camera_2,342.83835313,240.00000000,true
1.20000000,camera_3,354.15459806,207.85530731,true
1.23333333,camera_0,251.59764880,240.00000000,true
1.23333333,camera_1,282.27858991,240.00000000,true
1.23333333,camera_2,343.46092019,240.00000000,true
1.23333333,camera_3,353.43096179,207.68042360,true
1.26666667,camera_0,252.01141831,240.00000000,true
1.26666667,camera_1,281.35408995,240.00000000,true
1.26666667,camera_2,344.08249678,240.00000000,true
1.26666667,camera_3,352.70189349,207.50913711,true
1.30000000,camera_0,252.42964204,240.00000000,true
1.30000000,camera_1,280.43684717,240.00000000,true
1.30000000,camera_2,344.70305367,240.00000000,true
1.30000000,camera_3,351.96749798,207.34148615,true
1.33333333,camera_0,252.85226080,240.00000000,true
1.33333333,camera_1,279.52700937,240.00000000,true
1.33333333,camera_2,345.32256147,240.00000000,true
1.33333333,camera_3,351.22788180,207.17750834,true
1.36666667,camera_0,253.27921590,240.00000000,true
1.36666667,camera_1,278.62472136,240.00000000,true
1.36666667,camera_2,345.94099058,240.00000000,true
1.36666667,camera_3,350.48315323,207.01724068,true
1.40000000,camera_0,253.71044910,240.00000000,true
1.40000000,camera_1,277.73012489,240.00000000,true
1.40000000,camera_2,346.55831119,240.00000000,true
1.40000000,camera_3,349.73342223,206.86071941,true
1.43333333,camera_0,254.14590263,240.00000000,true
1.43333333,camera_1,276.84335857,240.00000000,true
1.43333333,camera_2,347.17449328,240.00000000,true
1.43333333,camera_3,348.97880044,206.70798009,true
1.46666667,camera_0,254.58551918,240.00000000,true
1.46666667,camera_1,275.96455793,240.00000000,true
1.46666667,camera_2,347.78950662,240.00000000,true
1.46666667,camera_3,348.21940114,206.55905755,true
1.50000000,camera_0,255.02924193,240.00000000,true
1.50000000,camera_1,275.09385530,240.00000000,true
1.50000000,camera_2,348.40332076,240.00000000,true
1.50000000,camera_3,347.45533919,206.41398585,true
1.53333333,camera_0,255.47701451,240.00000000,true
1.53333333,camera_1,274.23137984,240.00000000,true
1.53333333,camera_2,349.01590502,240.00000000,true
1.53333333,camera_3,346.68673107,206.27279831,true
1.56666667,camera_0,255.92878103,240.00000000,true
1.56666667,camera_1,273.37725749,240.00000000,true
1.56666667,camera_2,349.62722848,240.00000000,true
1.56666667,camera_3,345.91369477,206.13552743,true
1.60000000,camera_0,256.38448607,240.00000000,true
1.60000000,camera_1,272.53161093,240.00000000,true
1.60000000,camera_2,350.23726002,240.00000000,true
1.60000000,camera_3,345.13634981,206.00220495,true
1.63333333,camera_0,256.84407467,240.00000000,true
1.63333333,camera_1,271.69455962,240.00000000,true
1.63333333,camera_2,350.84596822,240.00000000,true
1.63333333,camera_3,344.35481717,205.87286177,true
1.66666667,camera_0,257.30749236,240.00000000,true
1.66666667,camera_1,270.86621972,240.00000000,true
1.66666667,camera_2,351.45332148,240.00000000,true
1.66666667,camera_3,343.56921930,205.74752796,true
1.70000000,camera_0,257.77468512,240.00000000,true
1.70000000,camera_1,270.04670409,240.00000000,true
1.70000000,camera_2,352.05928789,240.00000000,true
1.70000000,camera_3,342.77968002,205.62623277,true
1.73333333,camera_0,258.24559940,240.00000000,true
1.73333333,camera_1,269.23612230,240.00000000,true
1.73333333,camera_2,352.66383533,240.00000000,true
1.73333333,camera_3,341.98632455,205.50900455,true
1.76666667,camera_0,258.72018213,240.00000000,true
1.76666667,camera_1,268.43458059,240.00000000,true
1.76666667,camera_2,353.26693139,240.00000000,true
1.76666667,camera_3,341.18927942,205.39587081,true
1.80000000,camera_0,259.19838070,240.00000000,true
1.80000000,camera_1,267.64218188,240.00000000,true
1.80000000,camera_2,353.86854341,240.00000000,true
1.80000000,camera_3,340.38867245,205.28685815,true
1.83333333,camera_0,259.68014297,240.00000000,true
1.83333333,camera_1,266.85902577,240.00000000,true
1.83333333,camera_2,354.46863844,240.00000000,true
1.83333333,camera_3,339.58463272,205.18199227,true
1.86666667,camera_0,260.16541725,240.00000000,true
1.86666667,camera_1,266.08520850,240.00000000,true
1.86666667,camera_2,355.06718327,240.00000000,true
1.86666667,camera_3,338.77729051,205.08129796,true
1.90000000,camera_0,260.65415233,240.00000000,true
1.90000000,camera_1,265.32082299,240.00000000,true
1.90000000,camera_2,355.66414441,240.00000000,true
1.90000000,camera_3,337.96677727,204.98479907,true
1.93333333,camera_0,261.14629745,240.00000000,true
1.93333333,camera_1,264.56595881,240.00000000,true
1.93333333,camera_2,356.25948807,240.00000000,true
